frame_id,hand_id,手类型,finger_id,finger_name,node_id,node_name,x,y,z
3737,54,右手,4,小指,3,关节3(指尖),51.84,142.37,-153.75
3738,54,右手,0,拇指,1,关节1(靠近手掌),117.27,158.45,-59.51
3738,54,右手,0,拇指,2,关节2(中间),74.63,169.31,-45.21
3738,54,右手,0,拇指,3,关节3(指尖),33.06,176.66,-31.92
3738,54,右手,1,食指,1,关节1(靠近手掌),55.71,168.56,-78.92
3738,54,右手,1,食指,2,关节2(中间),29.75,173.93,-70.73
3738,54,右手,1,食指,3,关节3(指尖),2.07,178.09,-61.64
3738,54,右手,2,中指,1,关节1(靠近手掌),60.66,162.63,-93.20
3738,54,右手,2,中指,2,关节2(中间),29.29,165.24,-99.30
3738,54,右手,2,中指,3,关节3(指尖),-8.51,168.98,-102.93
3738,54,右手,3,无名指,1,关节1(靠近手掌),69.67,152.24,-107.16
3738,54,右手,3,无名指,2,关节2(中间),41.43,160.54,-115.97
3738,54,右手,3,无名指,3,关节3(指尖),12.87,168.98,-123.42
3738,54,右手,4,小指,1,关节1(靠近手掌),80.45,141.53,-115.49
3738,54,右手,4,小指,2,关节2(中间),65.11,144.71,-129.39
3738,54,右手,4,小指,3,关节3(指尖),43.05,145.79,-145.33
3739,54,右手,0,拇指,1,关节1(靠近手掌),114.68,160.97,-54.77
3739,54,右手,0,拇指,2,关节2(中间),72.24,171.78,-39.39
3739,54,右手,0,拇指,3,关节3(指尖),31.22,179.17,-24.30
3739,54,右手,1,食指,1,关节1(靠近手掌),52.23,171.97,-72.93
3739,54,右手,1,食指,2,关节2(中间),26.32,177.10,-62.49
3739,54,右手,1,食指,3,关节3(指尖),-0.29,181.06,-50.53
3739,54,右手,2,中指,1,关节1(靠近手掌),56.61,165.84,-87.32
3739,54,右手,2,中指,2,关节2(中间),24.32,169.45,-91.77
3739,54,右手,2,中指,3,关节3(指尖),-14.80,173.98,-92.60
3739,54,右手,3,无名指,1,关节1(靠近手掌),64.97,155.27,-101.45
3739,54,右手,3,无名指,2,关节2(中间),35.98,164.31,-109.16
3739,54,右手,3,无名指,3,关节3(指尖),6.11,173.99,-115.37
3739,54,右手,4,小指,1,关节1(靠近手掌),75.30,144.33,-109.93
3739,54,右手,4,小指,2,关节2(中间),59.24,148.08,-123.43
3739,54,右手,4,小指,3,关节3(指尖),36.25,149.80,-138.82
3740,54,右手,0,拇指,1,关节1(靠近手掌),111.81,163.48,-50.06
