frame_id,hand_id,hand_type,finger_id,finger_name,bone_name,start_x,start_y,start_z,end_x,end_y,end_z
43361,36,right,4,Pinky,Distal,-57.89,200.74,-87.81,-65.98,205.38,-94.94
43362,36,right,0,Thumb,Metacarpal,31.85,148.75,-47.48,31.85,148.75,-47.48
43362,36,right,0,Thumb,Proximal,31.85,148.75,-47.48,36.19,138.38,-93.03
43362,36,right,0,Thumb,Intermediate,36.19,138.38,-93.03,36.59,134.14,-118.34
43362,36,right,0,Thumb,Distal,36.59,134.14,-118.34,35.17,132.63,-135.29
43362,36,right,1,Index,Metacarpal,17.95,142.43,-47.84,-0.74,158.63,-115.22
43362,36,right,1,Index,Proximal,-0.74,158.63,-115.22,-14.70,160.31,-144.47
43362,36,right,1,Index,Intermediate,-14.70,160.31,-144.47,-22.63,161.32,-164.40
43362,36,right,1,Index,Distal,-22.63,161.32,-164.40,-28.47,163.10,-180.36
43362,36,right,2,Middle,Metacarpal,10.30,145.32,-46.66,-14.38,165.63,-106.75
43362,36,right,2,Middle,Proximal,-14.38,165.63,-106.75,-34.85,166.60,-135.90
43362,36,right,2,Middle,Intermediate,-34.85,166.60,-135.90,-49.01,168.11,-157.88
43362,36,right,2,Middle,Distal,-49.01,168.11,-157.88,-57.87,170.29,-174.16
43362,36,right,3,Ring,Metacarpal,3.04,152.98,-42.65,-25.38,175.86,-91.67
43362,36,right,3,Ring,Proximal,-25.38,175.86,-91.67,-50.24,175.83,-114.98
43362,36,right,3,Ring,Intermediate,-50.24,175.83,-114.98,-64.22,175.46,-129.10
43362,36,right,3,Ring,Distal,-64.22,175.46,-129.10,-73.13,175.69,-141.77
43362,36,right,4,Pinky,Metacarpal,3.32,161.87,-35.06,-29.19,184.80,-75.27
43362,36,right,4,Pinky,Proximal,-29.19,184.80,-75.27,-48.60,191.81,-85.62
43362,36,right,4,Pinky,Intermediate,-48.60,191.81,-85.62,-62.23,197.94,-94.40
43362,36,right,4,Pinky,Distal,-62.23,197.94,-94.40,-70.57,202.12,-101.40
43363,36,right,0,Thumb,Metacarpal,27.82,149.52,-54.21,27.82,149.52,-54.21
43363,36,right,0,Thumb,Proximal,27.82,149.52,-54.21,32.52,137.72,-98.76
43363,36,right,0,Thumb,Intermediate,32.52,137.72,-98.76,33.02,133.02,-123.53
43363,36,right,0,Thumb,Distal,33.02,133.02,-123.53,31.63,131.14,-140.18
